objectid,title,alternatetitle,category,externalurl,institution,access,sourcelist,tags,description,sau,lastmodified
11,Hong Kong Literature Database,香港文學資料庫,Archival Material,https://hklit.lib.cuhk.edu.hk,Chinese University of Hong Kong,open access,ACLS Open Database Resource Guide,"Hong Kong,Literature,Full-text,Newspapers and periodicals","The Hong Kong Literature Database (香港文學資料庫), developed by the Chinese University of Hong Kong Library, is the first comprehensive database on Hong Kong literature. As of June 2024, the database contains nearly 670,000 records, including over 200 Hong Kong literary journals, literary supplements from 20 early Hong Kong newspapers, and approximately 18,000 monographs, with over 180,000 items available as full-text images. The database offers multiple search functions including full-text search and image viewing, accessible without geographic restrictions, and serves as a platform for literary news, organizational activities, and writer information.",9,5/16/2026 1:14pm
12,Chinese Christian Texts Database,,Subject Guides and Bibliographies,https://www.arts.kuleuven.be/chinese-studies/english/cct,KU Leuven,open access,ACLS Open Database Resource Guide,"Missionaries,Philosophy,Religion,Late Imperial (1368–1912),Colonialism,Secondary sources","The Chinese Christian Texts Database (CCT-database), initiated by the late Professor Erik Zürcher and developed by Ad Dudink and Nicolas Standaert at KU Leuven, is a referential research database of primary and secondary sources concerning cultural contacts between China and Europe from 1582 to c. 1840, covering religion, philosophy, science, and art. The database contains approximately 1,050 Chinese primary sources (printed books, manuscripts, pamphlets, and maps), approximately 4,000 European primary sources, and over 11,000 secondary sources linked to primary sources where applicable. It is multilingual with extensive search capabilities and detailed bibliographical information including content descriptions, call numbers in major library collections, and notes on author and text history; thematic categorization follows the Handbook of Christianity in China: Volume One (635–1800). Access is free.",8,5/13/2026 5:00pm
13,The Ming History English Translation Project,,Classical Texts,https://minghistoryinenglish.com/,Hong Kong Baptist University,open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Biography,Full-text,Translation","The Ming History English Translation Project is a collaborative, ongoing effort to translate portions of the 明史 Mingshi (Official History of the Ming Dynasty) and other Ming-era texts into English. The Mingshi, presented to the Qing throne in 1736 and published in 1739, contains valuable information on Ming government, society, and prominent individuals from the period 1368–1644. The site also provides translations from the Da Ming Huidian (大明會典) and other Ming sources, contributed by scholars and students primarily under Creative Commons licenses. Originally founded at UC San Diego, the project is currently maintained by Yiming Ha at Hong Kong Baptist University.",7,5/13/2026 5:00pm
14,Ming Qing Women's Writings,明清婦女著作,Classical Texts,https://mhdb.mh.sinica.edu.tw/mingqing/mqww/,Academia Sinica,open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Gender,Literature,Biography,Full-text","Ming Qing Women's Writings (明清婦女著作) is a digital archive and database dedicated to the digitization and documentation of writings by women in late imperial China (1368–1911), originally launched at McGill University in 2005 and now hosted and maintained by Academia Sinica (updated October 2025). Close to 5,000 collections of poetry and writings by individual women are recorded for the Ming and Qing periods, though less than a quarter have survived. Each writer entry links to the China Biographical Database hosted at Harvard University. Digital assets were provided by partner libraries including Harvard-Yenching Library, Peking University Library, Sun Yat-sen University Library, and the Chinese University of Hong Kong Library.",9,5/13/2026 5:00pm
15,Modern Chinese Literature and Culture (MCLC) Resource Center,,Subject Guides and Bibliographies,https://u.osu.edu/mclc/,The Ohio State University,open access,ACLS Open Database Resource Guide,"Contemporary (post-1978),Literature,Art and Architecture,Popular media,Secondary sources","The MCLC Resource Center is the online companion to the print journal Modern Chinese Literature and Culture, maintained by Kirk A. Denton at The Ohio State University. It houses extensive bibliographies of mostly English-language materials on modern and contemporary Chinese literature, film/media, visual arts, music, education, and culture, as well as online articles, book reviews, and a blog. The Resource Center also hosts a Video Lecture Series featuring leading experts on modern Chinese literature and culture. Back issues of the print journal (with a one-year lag) are available through JSTOR.",8,5/16/2026 1:14pm
16,PRC History Group Resource List,,Subject Guides and Bibliographies,https://networks.h-net.org/h-prc,PRC History Group,open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Early PRC (1949–1966),Cultural Revolution (1966–1976),Contemporary (post-1978),Secondary sources","The PRC History Group is a scholarly network focused on the history of the People's Republic of China, now operating as H-PRC on the H-Net platform (https://networks.h-net.org/h-prc). The network hosts scholarly discussions, announcements, and publishes the PRC History Review, which contains research articles, roundtable discussions, and reviews of recent scholarship. The site also links to freely available Chinese-language journals focusing on the Cultural Revolution and other PRC topics, including Remembrance (记忆), Yesterday (昨天), and Past Events (往事). The group welcomes scholars, students, and others with serious interest in PRC history.",7,5/16/2026 1:14pm
17,China Reform and Opening Up Database,中国改革开放数据库,Archival Material,http://www.reformdata.org/records/,China (Hainan) Institute for Reform and Development,open access,ACLS Open Database Resource Guide,"Oral history,Contemporary (post-1978),Economy,Historical archive,Full-text","The China Reform and Opening Up Database (中国改革开放数据库) is a comprehensive documentary record of China's reform era from 1978 to 2018, organized in chronological format with four major sections: annual highlights, a chronology of major events, oral history interviews with reform participants, and material evidence and artifacts. Sponsored by the China (Hainan) Institute for Reform and Development, the database contains extensive full-text speeches, images, and oral history recordings documenting the forty-year reform period. Basic browsing is free, though downloading articles and images requires creating a personal account.",7,5/16/2026 1:14pm
18,Ivy Plus Libraries' Digital Projects on East Asia,,Subject Guides and Bibliographies,https://guides.library.duke.edu/ivypluseastasia,Duke University,open access,ACLS Open Database Resource Guide,"Digital humanities,Secondary sources","Ivy Plus Libraries' Digital Projects on East Asia is a LibGuide hosted by Duke University Libraries that serves as a shared platform for Ivy Plus consortium member libraries to publicize their published and ongoing digital projects related to East Asia. Participating institutions include Brown, Cornell, Columbia, Dartmouth, Duke, Harvard, Johns Hopkins, Princeton, Stanford, University of Chicago, University of Pennsylvania, and Yale. The guide provides project listings and contact information for East Asian librarians at each institution, and is updated periodically (most recently April 2025).",7,5/13/2026 5:00pm
19,Late Qing and Republican-Era Chinese Newspapers,,Newspapers,https://gpa.eastview.com/crl/lqrcn/,East View Information Services,open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Republican era (1912–1949),Military,Full-text,Newspapers and periodicals,Historical archive","The Late Qing and Republican-Era Chinese Newspapers collection, published by East View Information Services and made openly accessible through the Center for Research Libraries (CRL) and its member institutions, contains 292 newspaper titles, 70,393 issues, and over 463,000 pages of full-text searchable content representing the press of more than twenty Chinese cities from 1911 to 1949. Unlike most digitized newspaper databases, the OCR-generated text is visible and copyable. The collection spans the collapse of the Qing Dynasty, the Republican period, the Sino-Japanese War, and the civil war, offering comprehensive coverage of Chinese political and cultural life through the founding of the PRC.",9,5/13/2026 5:00pm
20,Bilingual Database and Annotated Bibliography of Cantonese Popular Periodicals of the Early Twentieth Century,二十世紀初省港澳通俗刊物雙語資料庫與解題書目,Subject Guides and Bibliographies,https://www.cantonpp.com/tc,Lord Wilson Heritage Trust,open access,ACLS Open Database Resource Guide,"Hong Kong,Macau,Gender,Literature,Popular media,Newspapers and periodicals,Republican era (1912–1949),Late Imperial (1368–1912)","The Bilingual Database and Annotated Bibliography of Cantonese Popular Periodicals of the Early Twentieth Century (Phase I) documents popular periodicals from the Cantonese cultural region—spanning Guangzhou, Hong Kong, and Macau—from approximately 1907 to the 1950s, with 80 annotated entries organized by category and location. Categories include children's publications, film, current events, literature and arts, women and family, martial arts, dance halls, hometown magazines, and comics. The project draws on periodicals from international databases and libraries in Hong Kong, Macau, and the United Kingdom, as well as private collections, and reflects the shared cultural networks connecting cities of the historic Cantonese cultural region.",7,5/16/2026 1:14pm
21,Old Hong Kong Newspapers,,Newspapers,https://sls.hkpl.gov.hk/digital-collection/en/collection_old-hk-newspapers.html,Hong Kong Public Libraries,open access,ACLS Open Database Resource Guide,"Hong Kong,Newspapers and periodicals,Full-text,Historical archive,Late Imperial (1368–1912),Republican era (1912–1949),Contemporary (post-1978)","The Old Hong Kong Newspapers collection, maintained by Hong Kong Public Libraries and accessible through their Digital Collection platform, provides digitized images of 14 major historical Hong Kong newspapers spanning from 1853 to 1991. Chinese-language titles include 香港工商日報 (1926–1984), 華僑日報 (1947–1991), 香港華字日報 (1895–1940), 大公報 (1938–1991), 遐邇貫珍 (1853–1856), and 循環日報 (1874–1886); English-language titles include the China Mail (1866–1961), Hong Kong Daily Press (1864–1941), and Hong Kong Telegraph (1881–1951), among others. The collection supports research into Hong Kong's historical development, society, and culture from the colonial era through the late twentieth century.",8,5/16/2026 7:44pm
22,East Asian Newspapers and Periodicals 1850-1950,,Newspapers,https://archive.org/details/eastasia-periodicals,Internet Archive,open access,ACLS Open Database Resource Guide,"Manchuria,Singapore,Colonialism,Historical archive,Newspapers and periodicals,Full-text,Late Imperial (1368–1912),Republican era (1912–1949)","The East Asian Newspapers and Periodicals 1850–1950 collection on the Internet Archive provides free access to 266 East Asian newspapers, journals, and magazines published in Chinese, Korean, and Japanese from 1850 to 1950. Major titles include the Shenbao (申報, founded 1872, Shanghai), the North-China Herald (1850–1941, Shanghai), the Chosun-ilbo (朝鮮日報, founded 1920, Korea), and the Manzhoubao (満洲報, 1922–1937, Dalian). The collection documents critical periods of East Asian history including colonial periods, wars, and social transformations across China, Japan, Korea, and Singapore.",8,5/13/2026 9:04pm
23,"Archives of the Institute of Modern History, Academia Sinica",,Archival Material,https://archivesonline.mh.sinica.edu.tw/,Academia Sinica,open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Economy,International relations,Late Imperial (1368–1912),Historical archive,Contemporary (post-1978),Early PRC (1949–1966)","The online archive system of the Institute of Modern History (AIMH) at Academia Sinica provides catalog search and digital image viewing for over 682,000 archival records in five major categories: Foreign Ministry Collection (1861–2009), Economic Ministry Collection (1903–1980), Personal Papers, Institutional Materials, and Historical Maps. The Foreign Ministry Collection documents China's foreign relations from the Zongli Yamen (1861–1900) through the ROC Ministry of Foreign Affairs (1928–2009); the Economic Ministry Collection, the largest single set, spans commerce and economic agencies from 1903 to 1980. Approximately half of the total holdings have been digitized; 60 percent of digitized items are viewable online, while the remainder require on-site reading room access.",9,5/16/2026 7:44pm
24,Digital Library of Qing Archives,清代檔案檢索系統,Archival Material,https://qingarchives.npm.edu.tw/index.php,"National Palace Museum, Taipei",open access,ACLS Open Database Resource Guide,"Late Imperial (1368–1912),Historical archive,Biography,Full-text","The Digital Library of Qing Archives (清代檔案檢索系統) at the National Palace Museum in Taipei integrates the Grand Council Archives Database (清代宮中檔奏折及軍機處檔折件), the Qing Historical Figures Database (大清國史人物列傳及史館檔傳包傳稿資料庫), the Index to Qing Archival Volumes (清代文獻檔冊目錄資料庫), and additional NPM Qing holdings into a single searchable system. Free account registration is required to view full-text images online. The database is an essential resource for research on Qing dynasty government, biography, and bureaucracy.",9,5/13/2026 9:04pm
25,Modern History Databases (MHDB),近代史數位資料庫,Archival Material,https://mhdb.mh.sinica.edu.tw/,Academia Sinica,open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Contemporary (post-1978),Gender,Economy,Historical archive,Late Imperial (1368–1912)","The Modern History Databases (近代史數位資料庫, MHDB), maintained by the Institute of Modern History at Academia Sinica, is an integrated platform consolidating digital scholarly resources covering Chinese history from the Qing dynasty through the Republican period. The platform unifies resources from the Institute’s library, archives, Hu Shih Memorial Hall, and database research group, enabling cross-database keyword search across constituent databases covering archives, women’s journals and biography, urban tabloids, maritime customs records, grain prices, historical GIS, and specialized reference tools. Cross-database search is available with free registration; results are typically improved by searching within individual constituent databases.",9,5/13/2026 9:04pm
26,Maoist Legacy,,Archival Material,https://www.maoistlegacy.de/,University of Freiburg,open access,ACLS Open Database Resource Guide,"Early PRC (1949–1966),Cultural Revolution (1966–1976),Contemporary (post-1978),Historical archive,Biography,Law","The Maoist Legacy Database (MLD), a project led by Daniel Leese at the University of Freiburg with European Research Council support, is a digital archive of several thousand original documents, handbooks, and personal dossiers from the 1950s through the 1980s, focused primarily on the post-Maoist period when tens of millions of “unjust cases” were revised under Hua Guofeng, Deng Xiaoping, and Hu Yaobang. The collection ranks among the most comprehensive worldwide on communist-era transitional justice and the politics of historical reckoning. Over 5,000 documents have been annotated and digitized; due to privacy laws, the majority of individual case files remain unavailable in digital format. Free account registration is required for access.",8,5/16/2026 7:44pm
27,China Unofficial Archives,中国民间檔案馆,Archival Material,https://minjian-danganguan.org/,China Unofficial Archives,open access,ACLS Open Database Resource Guide,"Gender,Video,Contemporary (post-1978),Cultural Revolution (1966–1976),Early PRC (1949–1966),Republican era (1912–1949),Historical archive,Oral history,Full-text","The China Unofficial Archives (CUA, 中国民间檔案馆) is a publicly registered non-profit digital repository founded by journalist Ian Johnson, dedicated to preserving and making accessible documents, films, blogs, and publications by Chinese citizen historians offering alternative perspectives on PRC history. Fully bilingual in Chinese and English, the archive covers materials from before 1949 through current events, organized by topic, era, creator, and format, with all items available as free open-access downloads. The archive also maintains an active Substack newsletter with regular bilingual commentary and new acquisitions. An advisory board of scholars and archivists in multiple countries supports the project.",8,5/16/2026 10:10am
28,Unofficial Poetry from China,,Archival Material,https://digitalcollections.universiteitleiden.nl/unpo,Leiden University,open access,ACLS Open Database Resource Guide,"Contemporary (post-1978),Early PRC (1949–1966),Literature,Full-text,Gender","Unofficial Poetry from China is an internationally unique collection of unofficial or “underground” poetry publications—primarily journals—from the People’s Republic of China, held and digitized by Leiden University Libraries and made freely accessible online. The print collection was built by Maghiel van Crevel during fieldwork trips since the 1990s and extends from the late 1970s to the twenty-first century, with some materials from the high-socialist period; titles include Today (今天), Wings (翼, a feminist journal), and The Lower Body (下半身). The collection documents how unofficial poetry accommodates marginalized groups including avant-garde poets, precarious workers, and members of the queer community; a satellite research documentation collection (UNPOD) and related scholarly resources further support research use.",8,5/13/2026 9:04pm
29,Early Chinese Periodicals Online (ECPO),,Academic Journals and Articles (Late Qing and Republican),https://ecpo.cats.uni-heidelberg.de/ecpo/,Heidelberg University,open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Gender,Literature,Popular media,Newspapers and periodicals,Late Imperial (1368–1912),Full-text","Early Chinese Periodicals Online (ECPO) is an open-access research platform developed by the Heidelberg Research Architecture at Heidelberg University, providing integrated access to digitized Chinese periodicals from the late Qing and Republican eras. The platform currently hosts over 300 publications with approximately 435,000 entries—including 300,000 scans, 85,000 records, and 50,000 agent names—with collections focused on women’s magazines (the WoMag database: four influential titles, 1904–1937) and entertainment newspapers (Xiaobao 小報). ECPO provides fully bilingual metadata in Chinese and English, an API in MODS XML format, and publishes its metadata on heiDATA, Heidelberg University’s research data repository.",9,5/16/2026 7:44pm
30,Anti-Japanese War and Modern Sino-Japanese Relations Documents Platform,抗日战争与近代中日关系文献数据平台,Archival Material,https://www.modernhistory.org.cn/,Chinese Academy of Social Sciences,open access,ACLS Open Database Resource Guide,"Republican era (1912–1949),Military,Dataset,Full-text,Historical archive,International relations,Newspapers and periodicals","The Anti-Japanese War and Modern Sino-Japanese Relations Documents Platform (抗日战争与近代中日关系文献数据平台), developed by the Institute of Modern History at the Chinese Academy of Social Sciences, is a comprehensive free database focused on the Sino-Japanese War (1937–1945) and China-Japan relations more broadly. The platform provides access to a wide range of digitized Republican-era source types including archives, books, newspapers, journals, communist publications, audio recordings, photographs, and musical scores, spanning both official and unofficial sources and the broader Republican period beyond the war years. The database is regularly updated with new entries.",8,5/16/2026 7:44pm
31,Taiwan eBook,臺灣華文電子書庫,E-books (Republican),https://taiwanebook.ncl.edu.tw/en,National Central Library (Taiwan),open access,ACLS Open Database Resource Guide,"Taiwan,Republican era (1912–1949),Literature,Economy,Full-text","Taiwan eBook (臺灣華文電子書庫) is a digital preservation and access initiative created and maintained by the National Central Library (NCL) of Taiwan. The database digitizes Chinese language books published between 1911-1949 (the Republican period) held by libraries, research organizations, and government institutions throughout Taiwan. These works document various aspects of Republican-era history, culture, literati, geography, art, literature, society, politics, and economy.",7,5/13/2026 9:27pm
32,Dianjin,典津,Classical Texts,https://guji.cckb.cn/,Tsinghua University,subscription,ACLS Open Database Resource Guide,"Historical archive,Late Imperial (1368–1912),Middle Period (220–1368)","Dianjin (典津) is the successor to the Global Image Catalogue of Ancient Chinese Book Collections (全球漢籍影像開放集成系統 / GIC-ACBC), a digital image retrieval platform for ancient Chinese texts developed jointly by Tsinghua University and CNKI (China National Knowledge Infrastructure). The platform aggregates digitized images of ancient Chinese texts from over 90 databases worldwide, with the current collection comprising over 753,000 entries. It supports comparative textual research, rare edition discovery, and version comparison by providing unified access to dispersed global holdings of Chinese classical texts. Access now requires institutional or individual login registration.",6,5/17/2026 12:06am
33,Telling Stories: Linguistic Diversity in Hong Kong,,Archival Material,https://www.eng.cuhk.edu.hk/ENGE-TellingStories/index.html,Chinese University of Hong Kong,open access,ACLS Open Database Resource Guide,"Hong Kong,Ethnic minorities,Translation,Full-text","Telling Stories: Linguistic Diversity in Hong Kong is a comprehensive linguistic documentation project created by Professor Jette G. Hansen Edwards of The Chinese University of Hong Kong. The database showcases 195 stories collected from speakers of 70 different languages and varieties that have been historically spoken or are currently in use in Hong Kong. Each story is presented as speech samples with transcriptions in the original language/variety, translated into English, traditional Chinese, and simplified Chinese. Many also include video translations into Hong Kong Sign Language, making the resource accessible to the deaf community while helping document and preserve this endangered indigenous language. The project highlights Hong Kong's vibrant multiculturalism and multilingualism, serving as an educational tool and research resource for exploring linguistic diversity, minority languages, language endangerment, linguistic discrimination, and world Englishes.",7,5/17/2026 12:06am
34,The Memory Project,民间记忆计划,Archival Material,https://repository.duke.edu/dc/memoryproject,Duke University,open access,ACLS Open Database Resource Guide,"Early PRC (1949–1966),Cultural Revolution (1966–1976),Oral history,Video,Historical archive","The Memory Project (民间记忆计划) is a landmark oral history collection comprising approximately 740 digital video interviews (as of September 2024) documenting mid-20th century rural Chinese life, launched in 2010 by pioneering Chinese independent filmmaker Wu Wenguang through his Work Station documentary studio in Caochangdi, Beijing. More than 150 young filmmakers have visited 246 villages across 20 provinces between 2010-2016 to interview over 1,100 elderly villagers, primarily about the Great Famine (1958-1961), which caused 20-43 million deaths and is officially known in China as the “Three Years of Natural Disasters.” The project also covers the Land Reform and Collectivization (1949-1953), the Great Leap Forward (1958-1960), the Four Cleanups Movement (1964), and the Cultural Revolution (1966-1976). Many filmmakers returned to their families’ rural hometowns, creating new intergenerational relationships while documenting memories excluded from official state history. Duke University houses the project archives, providing raw footage and transcripts (many in regional dialects) to students, researchers, and the public. An accompanying website features an interactive map, timeline, and featured interviews.",8,5/13/2026 9:27pm
35,CR/10: China's Cultural Revolution in Memories,,Archival Material,https://culturalrevolution.pitt.edu,University of Pittsburgh,open access,ACLS Open Database Resource Guide,"Cultural Revolution (1966–1976),Oral history,Video,Historical archive","CR/10 (Cultural Revolution: 10) is an experimental oral history project documenting ordinary people's memories and experiences of China's Great Proletarian Cultural Revolution (1966-1976), launched in December 2015 at the University of Pittsburgh. The project has posted 121 interviews in its Digital Collections, offering unmediated personal perspectives without imposing interpretive frameworks, conducted across various Chinese dialects and regional languages. The project also produced the documentary film 'The Revolution They Remember,' available on the project website, further disseminating these personal testimonies to broader audiences. CR/10 serves as a valuable primary source collection for researchers studying the social, rural, and human dimensions of the Cultural Revolution.",7,5/13/2026 9:27pm
